displayName,description,datatype,patientAttribute,priority,clinicalAttributeId,studyId
"Did patient start adjuvant postoperative radiotherapy?","A yes/no indicator that asks whether the patient started adjuvant postoperative radiotherapy.","STRING",true,"1","RADIATION_TREATMENT_ADJUVANT","luad_tcga"
"Surgical Margin Resection Status","Text terms to describe the status of a tissue margin following surgical resection.","STRING",true,"1","RESIDUAL_TUMOR","luad_tcga"
"Tissue Retrospective Collection Indicator","Text indicator for the time frame of tissue procurement, indicating that the tissue was obtained and stored prior to the initiation of the project.","STRING",true,"1","RETROSPECTIVE_COLLECTION","luad_tcga"
"Sample Type","The type of sample (i.e., normal, primary, met, recurrence).","STRING",false,"1","SAMPLE_TYPE","luad_tcga"
"Sample type id","Sample type id","STRING",false,"1","SAMPLE_TYPE_ID","luad_tcga"
"Sex","Sex","STRING",true,"1","SEX","luad_tcga"
"Shortest Dimension","Shortest Dimension","NUMBER",false,"1","SHORTEST_DIMENSION","luad_tcga"
"Person Cigarette Smoking History Pack Year Value","Numeric computed value to represent lifetime tobacco exposure defined as number of cigarettes smoked per day x number of years smoked divided by 20.","NUMBER",true,"1","SMOKING_PACK_YEARS","luad_tcga"
"Started Smoking Year","The year in which the participant began smoking.","NUMBER",true,"1","SMOKING_YEAR_STARTED","luad_tcga"
"Stopped Smoking Year","The year in which the participant quit smoking.","NUMBER",true,"1","SMOKING_YEAR_STOPPED","luad_tcga"
"Specimen Current Weight","The weight of the specimen.","STRING",false,"1","SPECIMEN_CURRENT_WEIGHT","luad_tcga"
"Specimen Freezing Means","The method used to freeze the tissue after removal from the patient.","STRING",false,"1","SPECIMEN_FREEZING_METHOD","luad_tcga"
"Specimen Second Longest Dimension","The second longest dimension of the specimen.","NUMBER",false,"1","SPECIMEN_SECOND_LONGEST_DIMENSION","luad_tcga"
"Stage Other","Stage Other","STRING",true,"1","STAGE_OTHER","luad_tcga"
"Adjuvant Postoperative Targeted Therapy Administered Indicator","Text term to signify postoperative adjuvant cancer therapies which use drugs to act upon specific molecules, metabolic pathways or processes involved in carcinogenesis, tumor growth, or tumor spread. [Manually-curated]","STRING",true,"1","TARGETED_MOLECULAR_THERAPY","luad_tcga"
"Time between clamping and freezing","Time between clamping and freezing","STRING",false,"1","TIME_BETWEEN_CLAMPING_AND_FREEZING","luad_tcga"
"Time between excision and freezing","Time between excision and freezing","STRING",false,"1","TIME_BETWEEN_EXCISION_AND_FREEZING","luad_tcga"
"Tissue Source Site","A Tissue Source Site collects samples (tissue, cell, or blood) and cliincal metadata which are then sent to tha Biospecimen Core Resource.","STRING",true,"1","TISSUE_SOURCE_SITE","luad_tcga"
"Patient Smoking History Category","Category describing current smoking status and smoking history as self-reported by a patient.","STRING",true,"1","TOBACCO_SMOKING_HISTORY_INDICATOR","luad_tcga"
"Primary Therapy Outcome Success Type","Text term for the measure of success of outcome after primary treatment (surgery and adjuvant therapies).","STRING",true,"1","TREATMENT_OUTCOME_FIRST_COURSE","luad_tcga"
"Tumor Site","Tumor Site","STRING",true,"1","TUMOR_SITE","luad_tcga"
"Person Neoplasm Status","The state or condition of an individual's neoplasm at a particular point in time.","STRING",true,"1","TUMOR_STATUS","luad_tcga"
"Vial number","Vial number","STRING",false,"1","VIAL_NUMBER","luad_tcga"
"Patient's Vital Status","The survival state of the person.","STRING",true,"1","VITAL_STATUS","luad_tcga"
"Diagnosis Age","Age at which a condition or disease was first diagnosed.","NUMBER",true,"1","AGE","luad_tcga_pan_can_atlas_2018"
"Neoplasm Disease Stage American Joint Committee on Cancer Code","The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria.","STRING",true,"1","AJCC_PATHOLOGIC_TUMOR_STAGE","luad_tcga_pan_can_atlas_2018"
"American Joint Committee on Cancer Publication Version Type","The version or edition of the American Joint Committee on Cancer Cancer Staging Handbooks, a publication by the group formed for the purpose of developing a system of clinical staging for cancer that is acceptable to the American medical profession and is compatible with other accepted classifications.","STRING",true,"1","AJCC_STAGING_EDITION","luad_tcga_pan_can_atlas_2018"
"Aneuploidy Score","Aneuploidy Score","NUMBER",false,"1","ANEUPLOIDY_SCORE","luad_tcga_pan_can_atlas_2018"
"Cancer Type","Cancer Type","STRING",false,"1","CANCER_TYPE","luad_tcga_pan_can_atlas_2018"
"TCGA PanCanAtlas Cancer Type Acronym","Text field to hold cancer type acronym used by TCGA PanCanAtlas.","STRING",true,"1","CANCER_TYPE_ACRONYM","luad_tcga_pan_can_atlas_2018"
"Cancer Type Detailed","Cancer Type Detailed","STRING",false,"1","CANCER_TYPE_DETAILED","luad_tcga_pan_can_atlas_2018"
"Center of sequencing","Center of sequencing","STRING",true,"1","CENTER","luad_tcga_pan_can_atlas_2018"
"Last Communication Contact from Initial Pathologic Diagnosis Date","Time interval from the date of last followup to the date of initial pathologic diagnosis, represented as a calculated number of days..","NUMBER",true,"1","DAYS_LAST_FOLLOWUP","luad_tcga_pan_can_atlas_2018"
"Birth from Initial Pathologic Diagnosis Date","Time interval from a person's date of birth to the date of initial pathologic diagnosis, represented as a calculated number of days.","NUMBER",true,"1","DAYS_TO_BIRTH","luad_tcga_pan_can_atlas_2018"
"Last Alive Less Initial Pathologic Diagnosis Date Calculated Day Value","Time interval from the last day on which a person is known to be alive to the date of initial pathologic diagnosis, represented as a calculated number of days.","NUMBER",true,"1","DAYS_TO_INITIAL_PATHOLOGIC_DIAGNOSIS","luad_tcga_pan_can_atlas_2018"
"Ethnicity Category","The text for reporting information about ethnicity.","STRING",true,"1","ETHNICITY","luad_tcga_pan_can_atlas_2018"
"Form completion date","Form completion date","STRING",true,"1","FORM_COMPLETION_DATE","luad_tcga_pan_can_atlas_2018"
"Fraction Genome Altered","Fraction Genome Altered","NUMBER",false,"20","FRACTION_GENOME_ALTERED","luad_tcga_pan_can_atlas_2018"
"Person Gender","Patient gender.","STRING",true,"1","GENDER","luad_tcga_pan_can_atlas_2018"
"Neoplasm Histologic Grade","Numeric value to express the degree of abnormality of cancer cells, a measure of differentiation and aggressiveness.","STRING",false,"1","GRADE","luad_tcga_pan_can_atlas_2018"
"Neoadjuvant Therapy Type Administered Prior To Resection Text","Text term to describe the patient's history of neoadjuvant treatment and the kind of treatment given prior to resection of the tumor.","STRING",true,"1","HISTORY_NEOADJUVANT_TRTYN","luad_tcga_pan_can_atlas_2018"
"ICD-10 Classification","10th revision of the International Statistical Classification of Diseases and Related Health Problems.","STRING",true,"1","ICD_10","luad_tcga_pan_can_atlas_2018"
"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code","The third edition of the International Classification of Diseases for Oncology, published in 2000, used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms._The study of the structure of the cells and their arrangement to constitute tissues and, finally, the association among these to form organs.  In pathology, the microscopic process of identifying normal and abnormal morphologic characteristics in tissues, by employing various cytochemical and immunocytochemical stains._A system of numbered categories for representation of data.","STRING",true,"1","ICD_O_3_HISTOLOGY","luad_tcga_pan_can_atlas_2018"
"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Site Code","The third edition of the International Classification of Diseases for Oncology, published in 2000, used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms._The description of an anatomical region or of a body part._Named locations of, or within, the body._A system of numbered categories for representation of data.","STRING",true,"1","ICD_O_3_SITE","luad_tcga_pan_can_atlas_2018"
"Informed consent verified","Informed consent verified","STRING",true,"1","INFORMED_CONSENT_VERIFIED","luad_tcga_pan_can_atlas_2018"
"In PanCan Pathway Analysis","Patient Part of PanCan Pathway Analysis","STRING",true,"1","IN_PANCANPATHWAYS_FREEZE","luad_tcga_pan_can_atlas_2018"
"Mutation Count","Mutation Count","NUMBER",false,"30","MUTATION_COUNT","luad_tcga_pan_can_atlas_2018"
"New Neoplasm Event Post Initial Therapy Indicator","Yes/No/Unknown indicator to identify whether a patient has had a new tumor event after initial treatment.","STRING",true,"1","NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT","luad_tcga_pan_can_atlas_2018"
"Oncotree Code","Oncotree Code","STRING",false,"1","ONCOTREE_CODE","luad_tcga_pan_can_atlas_2018"
"Other Patient ID","Legacy DMP patient identifier (DMPnnnn)","STRING",true,"1","OTHER_PATIENT_ID","luad_tcga_pan_can_atlas_2018"
"American Joint Committee on Cancer Metastasis Stage Code","Code to represent the defined absence or presence of distant spread or metastases (M) to locations via vascular channels or lymphatics beyond the regional lymph nodes, using criteria established by the American Joint Committee on Cancer (AJCC).","STRING",true,"1","PATH_M_STAGE","luad_tcga_pan_can_atlas_2018"
"Neoplasm Disease Lymph Node Stage American Joint Committee on Cancer Code","The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.","STRING",true,"1","PATH_N_STAGE","luad_tcga_pan_can_atlas_2018"
"American Joint Committee on Cancer Tumor Stage Code","Code of pathological T (primary tumor) to define the size or contiguous extension of the primary tumor (T), using staging criteria from the American Joint Committee on Cancer (AJCC).","STRING",true,"1","PATH_T_STAGE","luad_tcga_pan_can_atlas_2018"
"Person Neoplasm Cancer Status","Person neoplasm cancer status.","STRING",true,"1","PERSON_NEOPLASM_CANCER_STATUS","luad_tcga_pan_can_atlas_2018"
"Primary Lymph Node Presentation Assessment","Primary lymph node presentation assessment.","STRING",true,"1","PRIMARY_LYMPH_NODE_PRESENTATION_ASSESSMENT","luad_tcga_pan_can_atlas_2018"
"Prior Diagnosis","Prior diagnosis.","STRING",true,"1","PRIOR_DX","luad_tcga_pan_can_atlas_2018"
"Race Category","The text for reporting information about race.","STRING",true,"1","RACE","luad_tcga_pan_can_atlas_2018"
"Radiation Therapy","Radiation Therapy.","STRING",true,"1","RADIATION_THERAPY","luad_tcga_pan_can_atlas_2018"
"10p Status","Chromosome Arm-Calls: 10p","STRING",false,"1","STATUS_10P","luad_tcga_pan_can_atlas_2018"
"10q Status","Chromosome Arm-Calls: 10q","STRING",false,"1","STATUS_10Q","luad_tcga_pan_can_atlas_2018"
"11p Status","Chromosome Arm-Calls: 11p","STRING",false,"1","STATUS_11P","luad_tcga_pan_can_atlas_2018"
"11q Status","Chromosome Arm-Calls: 11q","STRING",false,"1","STATUS_11Q","luad_tcga_pan_can_atlas_2018"
"12p Status","Chromosome Arm-Calls: 12p","STRING",false,"1","STATUS_12P","luad_tcga_pan_can_atlas_2018"
"12q Status","Chromosome Arm-Calls: 12q","STRING",false,"1","STATUS_12Q","luad_tcga_pan_can_atlas_2018"
"13 (13q) Status","Chromosome Arm-Calls: 13 (13q)","STRING",false,"1","STATUS_13_13Q","luad_tcga_pan_can_atlas_2018"
"14 (14q) Status","Chromosome Arm-Calls: 14 (14q)","STRING",false,"1","STATUS_14_14Q","luad_tcga_pan_can_atlas_2018"
"15 (15q) Status","Chromosome Arm-Calls: 15 (15q)","STRING",false,"1","STATUS_15_15Q","luad_tcga_pan_can_atlas_2018"
"16p Status","Chromosome Arm-Calls: 16p","STRING",false,"1","STATUS_16P","luad_tcga_pan_can_atlas_2018"
"16q Status","Chromosome Arm-Calls: 16q","STRING",false,"1","STATUS_16Q","luad_tcga_pan_can_atlas_2018"
"17p Status","Chromosome Arm-Calls: 17p","STRING",false,"1","STATUS_17P","luad_tcga_pan_can_atlas_2018"
"17q Status","Chromosome Arm-Calls: 17q","STRING",false,"1","STATUS_17Q","luad_tcga_pan_can_atlas_2018"
"18p Status","Chromosome Arm-Calls: 18p","STRING",false,"1","STATUS_18P","luad_tcga_pan_can_atlas_2018"
"18q Status","Chromosome Arm-Calls: 18q","STRING",false,"1","STATUS_18Q","luad_tcga_pan_can_atlas_2018"
"19p Status","Chromosome Arm-Calls: 19p","STRING",false,"1","STATUS_19P","luad_tcga_pan_can_atlas_2018"
"19q Status","Chromosome Arm-Calls: 19q","STRING",false,"1","STATUS_19Q","luad_tcga_pan_can_atlas_2018"
"1p Status","Chromosome Arm-Calls: 1p","STRING",false,"1","STATUS_1P","luad_tcga_pan_can_atlas_2018"
"1q Status","Chromosome Arm-Calls: 1q","STRING",false,"1","STATUS_1Q","luad_tcga_pan_can_atlas_2018"
"20p Status","Chromosome Arm-Calls: 20p","STRING",false,"1","STATUS_20P","luad_tcga_pan_can_atlas_2018"
"20q Status","Chromosome Arm-Calls: 20q","STRING",false,"1","STATUS_20Q","luad_tcga_pan_can_atlas_2018"
"21 (21q) Status","Chromosome Arm-Calls: 21 (21q)","STRING",false,"1","STATUS_21_21Q","luad_tcga_pan_can_atlas_2018"
"22 (22q) Status","Chromosome Arm-Calls: 22 (22q)","STRING",false,"1","STATUS_22_22Q","luad_tcga_pan_can_atlas_2018"
"2p Status","Chromosome Arm-Calls: 2p","STRING",false,"1","STATUS_2P","luad_tcga_pan_can_atlas_2018"
"2q Status","Chromosome Arm-Calls: 2q","STRING",false,"1","STATUS_2Q","luad_tcga_pan_can_atlas_2018"
"3p Status","Chromosome Arm-Calls: 3p","STRING",false,"1","STATUS_3P","luad_tcga_pan_can_atlas_2018"
"3q Status","Chromosome Arm-Calls: 3q","STRING",false,"1","STATUS_3Q","luad_tcga_pan_can_atlas_2018"
"4p Status","Chromosome Arm-Calls: 4p","STRING",false,"1","STATUS_4P","luad_tcga_pan_can_atlas_2018"
"4q Status","Chromosome Arm-Calls: 4q","STRING",false,"1","STATUS_4Q","luad_tcga_pan_can_atlas_2018"
"5p Status","Chromosome Arm-Calls: 5p","STRING",false,"1","STATUS_5P","luad_tcga_pan_can_atlas_2018"
"5q Status","Chromosome Arm-Calls: 5q","STRING",false,"1","STATUS_5Q","luad_tcga_pan_can_atlas_2018"
"6p Status","Chromosome Arm-Calls: 6p","STRING",false,"1","STATUS_6P","luad_tcga_pan_can_atlas_2018"
"6q Status","Chromosome Arm-Calls: 6q","STRING",false,"1","STATUS_6Q","luad_tcga_pan_can_atlas_2018"
"7p Status","Chromosome Arm-Calls: 7p","STRING",false,"1","STATUS_7P","luad_tcga_pan_can_atlas_2018"
"7q Status","Chromosome Arm-Calls: 7q","STRING",false,"1","STATUS_7Q","luad_tcga_pan_can_atlas_2018"
"8p Status","Chromosome Arm-Calls: 8p","STRING",false,"1","STATUS_8P","luad_tcga_pan_can_atlas_2018"
"8q Status","Chromosome Arm-Calls: 8q","STRING",false,"1","STATUS_8Q","luad_tcga_pan_can_atlas_2018"
"9p Status","Chromosome Arm-Calls: 9p","STRING",false,"1","STATUS_9P","luad_tcga_pan_can_atlas_2018"
"9q Status","Chromosome Arm-Calls: 9q","STRING",false,"1","STATUS_9Q","luad_tcga_pan_can_atlas_2018"
"Subtype","Subtype","STRING",true,"1","SUBTYPE","luad_tcga_pan_can_atlas_2018"
"Tissue Prospective Collection Indicator","Tissue prospective collection indicator.","STRING",false,"1","TISSUE_PROSPECTIVE_COLLECTION_INDICATOR","luad_tcga_pan_can_atlas_2018"
"Tissue Retrospective Collection Indicator","Tissue retrospective collection indicator.","STRING",false,"1","TISSUE_RETROSPECTIVE_COLLECTION_INDICATOR","luad_tcga_pan_can_atlas_2018"
"Tissue Source Site","A Tissue Source Site collects samples (tissue, cell, or blood) and cliincal metadata which are then sent to tha Biospecimen Core Resource.","STRING",false,"1","TISSUE_SOURCE_SITE","luad_tcga_pan_can_atlas_2018"
"Tumor Disease Anatomic Site","Text term that describes the anatomic site of the tumor or disease.","STRING",false,"1","TUMOR_TISSUE_SITE","luad_tcga_pan_can_atlas_2018"
"Tumor Type","Tumor Type","STRING",false,"1","TUMOR_TYPE","luad_tcga_pan_can_atlas_2018"
"Patient Weight","Weight measured in kilograms.","NUMBER",true,"1","WEIGHT","luad_tcga_pan_can_atlas_2018"
"Diagnosis Age","Age at which a condition or disease was first diagnosed.","NUMBER",true,"1","AGE","luad_tcga_pub"
"Cancer Type","Cancer Type","STRING",false,"1","CANCER_TYPE","luad_tcga_pub"
"Cancer Type Detailed","Cancer Type Detailed","STRING",false,"1","CANCER_TYPE_DETAILED","luad_tcga_pub"
"Disease Free (Months)","Disease free (months) since initial treatment.","NUMBER",true,"1","DFS_MONTHS","luad_tcga_pub"
"Disease Free Status","Disease free status since initial treatment.","STRING",true,"1","DFS_STATUS","luad_tcga_pub"
"Distant Metastasis Pathologic Spread","Distant metastasis pathologic spread.","STRING",false,"1","DISTANT_METASTASIS_PATHOLOGIC_SPREAD","luad_tcga_pub"
"Fraction Genome Altered","Fraction Genome Altered","NUMBER",false,"20","FRACTION_GENOME_ALTERED","luad_tcga_pub"
"Tumor Other Histologic Subtype","Text to describe a tumor's histologic subtype or mixed diagnosis that is different from previously specified options.","STRING",true,"1","HISTOLOGICAL_SUBTYPE","luad_tcga_pub"
"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code","The third edition of the International Classification of Diseases for Oncology, published in 2000, used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms._The study of the structure of the cells and their arrangement to constitute tissues and, finally, the association among these to form organs.  In pathology, the microscopic process of identifying normal and abnormal morphologic characteristics in tissues, by employing various cytochemical and immunocytochemical stains._A system of numbered categories for representation of data.","STRING",true,"1","ICD_O_3_HISTOLOGY","luad_tcga_pub"
"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Site Code","The third edition of the International Classification of Diseases for Oncology, published in 2000, used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms._The description of an anatomical region or of a body part._Named locations of, or within, the body._A system of numbered categories for representation of data.","STRING",true,"1","ICD_O_3_SITE","luad_tcga_pub"
"Mutation Count","Mutation Count","NUMBER",false,"30","MUTATION_COUNT","luad_tcga_pub"
"Oncotree Code","Oncotree Code","STRING",false,"1","ONCOTREE_CODE","luad_tcga_pub"
"Overall Survival (Months)","Overall survival in months since initial diagonosis.","NUMBER",true,"1","OS_MONTHS","luad_tcga_pub"
"Overall Survival Status","Overall patient survival status.","STRING",true,"1","OS_STATUS","luad_tcga_pub"
"Pre-treatment History","Pre-treatment history.","STRING",true,"1","PRETREATMENT_HISTORY","luad_tcga_pub"
"Primary Tumor Pathologic Spread","Primary tumor pathologic spread.","STRING",true,"1","PRIMARY_TUMOR_PATHOLOGIC_SPREAD","luad_tcga_pub"
"Prior Diagnosis","Prior diagnosis.","STRING",true,"1","PRIOR_DIAGNOSIS","luad_tcga_pub"
"Surgical Margin Resection Status","Text terms to describe the status of a tissue margin following surgical resection.","STRING",true,"1","RESIDUAL_TUMOR","luad_tcga_pub"
"Sex","Sex","STRING",true,"1","SEX","luad_tcga_pub"
"Patient Smoking History Category","Category describing current smoking status and smoking history as self-reported by a patient.","STRING",true,"1","TOBACCO_SMOKING_HISTORY_INDICATOR","luad_tcga_pub"
"Tumor Stage 2009","Tumor stage 2009.","STRING",false,"1","TUMOR_STAGE_2009","luad_tcga_pub"
"Cancer Type","Cancer Type","STRING",false,"1","CANCER_TYPE","luad_tsp"
"Cancer Type Detailed","Cancer Type Detailed","STRING",false,"1","CANCER_TYPE_DETAILED","luad_tsp"
"Mutation Count","Mutation Count","NUMBER",false,"30","MUTATION_COUNT","luad_tsp"
"Oncotree Code","Oncotree Code","STRING",false,"1","ONCOTREE_CODE","luad_tsp"
"Diagnosis Age","Age at which a condition or disease was first diagnosed.","NUMBER",true,"1","AGE","lung_msk_2017"
"Cancer Type","Cancer Type","STRING",false,"5","CANCER_TYPE","lung_msk_2017"
"Cancer Type Detailed","Cancer Type Detailed","STRING",false,"5","CANCER_TYPE_DETAILED","lung_msk_2017"
"Clinical Trial","Clinical Trial","STRING",true,"1","CLINICAL_TRIAL","lung_msk_2017"
"Driver Mutations","Driver Mutations","STRING",false,"1","DRIVER_MUTATIONS","lung_msk_2017"
"Durable Clinical Benefit","Durable Clinical Benefit","STRING",true,"1","DURABLE_CLINICAL_BENEFIT","lung_msk_2017"
"Fraction Genome Altered","Fraction Genome Altered","NUMBER",false,"20","FRACTION_GENOME_ALTERED","lung_msk_2017"
"Gene Panel","Gene panel.","STRING",false,"1","GENE_PANEL","lung_msk_2017"
"Immunotherapy","Immunotherapy","STRING",true,"1","IMMUNE_TREATMENT","lung_msk_2017"
"Institute Source","Institute Source","STRING",false,"1","INSTITUTE","lung_msk_2017"
"Number Treatment Lines Prior To Receiving Impact Results","Number Treatment Lines Prior To Receiving Impact Results","NUMBER",false,"1","LINES_OF_TX_PRIOR_IMPACT","lung_msk_2017"
"Metastatic Site","The anatomic location to which the cancer has spread.","STRING",false,"1","METASTATIC_SITE","lung_msk_2017"
"Mutation Count","Mutation Count","NUMBER",false,"30","MUTATION_COUNT","lung_msk_2017"
"Oncotree Code","Oncotree Code","STRING",false,"1","ONCOTREE_CODE","lung_msk_2017"
"Overall Patient Histology","Overall Patient Histology","STRING",true,"1","OVERALL_PATIENT_HISTOLOGY","lung_msk_2017"
"Primary Tumor Site","Text term to describe the organ sub-division in an individual with cancer.","STRING",false,"1","PRIMARY_SITE","lung_msk_2017"
"Recurrent/metastatic disease","Recurrent/metastatic disease","STRING",false,"1","RECURRENT_METASTATIC_DISEASE","lung_msk_2017"
"Sample Class","The sample classification (i.e., tumor, cellline, xenograph).","STRING",false,"1","SAMPLE_CLASS","lung_msk_2017"
"Sample coverage","Sample coverage","NUMBER",false,"1","SAMPLE_COVERAGE","lung_msk_2017"
"Sample pre any Lung Therapy","Sample pre any Lung Therapy","STRING",false,"1","SAMPLE_PRE_LUNG_THERAPY","lung_msk_2017"
"Sample Type","The type of sample (i.e., normal, primary, met, recurrence).","STRING",false,"1","SAMPLE_TYPE","lung_msk_2017"
"Sex","Sex","STRING",true,"1","SEX","lung_msk_2017"
"Smoking History","Indicates if person has a history of smoking.","STRING",true,"1","SMOKING_HISTORY","lung_msk_2017"
"Somatic Status","Somatic Status","STRING",false,"1","SOMATIC_STATUS","lung_msk_2017"
"SO comments","Sign-out comments","STRING",false,"1","SO_COMMENTS","lung_msk_2017"
"Stage At Diagnosis","Stage At Diagnosis","STRING",false,"1","STAGE_AT_DIAGNOSIS","lung_msk_2017"
"Target Therapy","Did the patient recieve target therapy","STRING",true,"1","TARGET_THERAPY","lung_msk_2017"
"Chemotherapy","Chemotherapy.","STRING",true,"1","TREATMENT_CHEMOTHERAPY","lung_msk_2017"
"Tumor Purity","Tumor Purity","NUMBER",false,"1","TUMOR_PURITY","lung_msk_2017"
"Patient's Vital Status","The survival state of the person.","STRING",true,"1","VITAL_STATUS","lung_msk_2017"
"Diagnosis Age","Age at which a condition or disease was first diagnosed.","NUMBER",true,"1","AGE","lusc_tcga"
"Neoplasm Disease Stage American Joint Committee on Cancer Code","The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria.","STRING",true,"1","AJCC_CLINICAL_TUMOR_STAGE","lusc_tcga"
"Neoplasm American Joint Committee on Cancer Clinical Distant Metastasis M Stage","Extent of the distant metastasis for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.","STRING",true,"1","AJCC_METASTASIS_CLINICAL_CM","lusc_tcga"
"American Joint Committee on Cancer Metastasis Stage Code","Code to represent the defined absence or presence of distant spread or metastases (M) to locations via vascular channels or lymphatics beyond the regional lymph nodes, using criteria established by the American Joint Committee on Cancer (AJCC).","STRING",true,"1","AJCC_METASTASIS_PATHOLOGIC_PM","lusc_tcga"
"American Joint Committee on Cancer Lymph Node Stage Code","The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.","STRING",true,"1","AJCC_NODES_CLINICAL_CN","lusc_tcga"
"American Joint Committee on Cancer Lymph Node Stage Code","The codes that represent the stage of cancer based on the nodes present (T stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.","STRING",true,"1","AJCC_NODES_CLINICAL_CT","lusc_tcga"
"Neoplasm Disease Lymph Node Stage American Joint Committee on Cancer Code","The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.","STRING",true,"1","AJCC_NODES_PATHOLOGIC_PN","lusc_tcga"
"Neoplasm Disease Stage American Joint Committee on Cancer Code","The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria.","STRING",true,"1","AJCC_PATHOLOGIC_TUMOR_STAGE","lusc_tcga"
"American Joint Committee on Cancer Publication Version Type","The version or edition of the American Joint Committee on Cancer Cancer Staging Handbooks, a publication by the group formed for the purpose of developing a system of clinical staging for cancer that is acceptable to the American medical profession and is compatible with other accepted classifications.","STRING",true,"1","AJCC_STAGING_EDITION","lusc_tcga"
"American Joint Committee on Cancer Tumor Stage Code","Code of pathological T (primary tumor) to define the size or contiguous extension of the primary tumor (T), using staging criteria from the American Joint Committee on Cancer (AJCC).","STRING",true,"1","AJCC_TUMOR_PATHOLOGIC_PT","lusc_tcga"
"ALK Analysis Type","ALK Analysis Type","STRING",true,"1","ALK_ANALYSIS_TYPE","lusc_tcga"
"ALK Translocation Status","ALK Translocation Status","STRING",true,"1","ALK_TRANSLOCATION_STATUS","lusc_tcga"
"ALK Translocation Variant","ALK Translocation Variant","STRING",true,"1","ALK_TRANSLOCATION_VARIANT","lusc_tcga"
"Cancer Type","Cancer type","STRING",false,"1","CANCER_TYPE","lusc_tcga"
"Cancer Type Detailed","Cancer type detailed","STRING",false,"1","CANCER_TYPE_DETAILED","lusc_tcga"
"Carbon monoxide diffusion dlco","Carbon monoxide diffusion dlco","NUMBER",true,"1","CARBON_MONOXIDE_DIFFUSION_DLCO","lusc_tcga"
"Birth from Initial Pathologic Diagnosis Date","Time interval from a person's date of birth to the date of initial pathologic diagnosis, represented as a calculated number of days.","NUMBER",true,"1","DAYS_TO_BIRTH","lusc_tcga"
"Days to Sample Collection.","Days to sample collection.","NUMBER",false,"1","DAYS_TO_COLLECTION","lusc_tcga"
"Death from Initial Pathologic Diagnosis Date","Time interval from a person's date of death to the date of initial pathologic diagnosis, represented as a calculated number of days.","STRING",true,"1","DAYS_TO_DEATH","lusc_tcga"
"Last Alive Less Initial Pathologic Diagnosis Date Calculated Day Value","Time interval from the last day on which a person is known to be alive to the date of initial pathologic diagnosis, represented as a calculated number of days.","NUMBER",true,"1","DAYS_TO_INITIAL_PATHOLOGIC_DIAGNOSIS","lusc_tcga"
"Days to Last Followup","Time interval from the date of last followup to the date of initial pathologic diagnosis, represented as a calculated number of days.","STRING",true,"1","DAYS_TO_LAST_FOLLOWUP","lusc_tcga"
"days_to_patient_progression_free","days_to_patient_progression_free","STRING",true,"1","DAYS_TO_PATIENT_PROGRESSION_FREE","lusc_tcga"
"Days to Sample Procurement","Days to sample procurement.","STRING",false,"1","DAYS_TO_SPECIMEN_COLLECTION","lusc_tcga"
"days_to_tumor_progression","days_to_tumor_progression","STRING",true,"1","DAYS_TO_TUMOR_PROGRESSION","lusc_tcga"
"Disease Free (Months)","Disease free (months) since initial treatment.","NUMBER",true,"1","DFS_MONTHS","lusc_tcga"
"Disease Free Status","Disease free status since initial treatment.","STRING",true,"1","DFS_STATUS","lusc_tcga"
"Disease code","Disease code","STRING",true,"1","DISEASE_CODE","lusc_tcga"
"Performance Status","The functional level of the patient based on the Zubrod performance scale.","NUMBER",true,"1","ECOG_SCORE","lusc_tcga"
"Ethnicity Category","The text for reporting information about ethnicity.","STRING",true,"1","ETHNICITY","lusc_tcga"
"Lymphomatous Extranodal Site Involvement Indicator","Indicator that identifies whether a patient with malignant lymphoma has lymphomatous involvement of an extranodal site.","STRING",true,"1","EXTRANODAL_INVOLVEMENT","lusc_tcga"
"Fev1 fvc ratio postbroncholiator","Fev1 fvc ratio postbroncholiator","NUMBER",true,"1","FEV1_FVC_RATIO_POSTBRONCHOLIATOR","lusc_tcga"
"Fev1 fvc ratio prebroncholiator","Fev1 fvc ratio prebroncholiator","NUMBER",true,"1","FEV1_FVC_RATIO_PREBRONCHOLIATOR","lusc_tcga"
