category,name,description,sampleListId,studyId
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM450)","All samples with methylation (HM450) data (492 samples)","luad_tcga_methylation_hm450","luad_tcga"
"all_cases_with_methylation_data","All tumor samples with methylation data","All samples with methylation data (580 samples)","luad_tcga_methylation_all","luad_tcga"
"all_cases_with_mutation_data","All Sequenced Tumors","All sequenced tumor samples (230 samples)","luad_tcga_sequenced","luad_tcga"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (230 samples)","luad_tcga_cnaseq","luad_tcga"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (516 samples)","luad_tcga_cna","luad_tcga"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (517 samples)","luad_tcga_rna_seq_v2_mrna","luad_tcga"
"all_cases_in_study","All Tumors","All tumor samples (918 samples)","luad_tcga_all","luad_tcga"
"all_cases_with_mrna_array_data","Tumor Samples with mRNA data (Agilent microarray)","All samples with mRNA expression data (32 samples)","luad_tcga_mrna","luad_tcga"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (230 samples)","luad_tcga_3way_complete","luad_tcga"
"all_cases_with_rppa_data","Tumor Samples with RPPA data","Tumors with reverse phase protein array (RPPA) data for about 200 antibodies (365 samples)","luad_tcga_rppa","luad_tcga"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM27)","All samples with methylation (HM27) data (150 samples)","luad_tcga_methylation_hm27","luad_tcga"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (566 samples)","luad_tcga_pan_can_atlas_2018_sequenced","luad_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (507 samples)","luad_tcga_pan_can_atlas_2018_cnaseq","luad_tcga_pan_can_atlas_2018"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (511 samples)","luad_tcga_pan_can_atlas_2018_cna","luad_tcga_pan_can_atlas_2018"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (510 samples)","luad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","luad_tcga_pan_can_atlas_2018"
"all_cases_in_study","All Tumors","All tumor samples (566 samples)","luad_tcga_pan_can_atlas_2018_all","luad_tcga_pan_can_atlas_2018"
"all_cases_with_log2_cna_data","Tumor Samples with log2 copy-number","All tumors with log2 copy-number data (511 samples)","luad_tcga_pan_can_atlas_2018_log2CNA","luad_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (503 samples)","luad_tcga_pan_can_atlas_2018_3way_complete","luad_tcga_pan_can_atlas_2018"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM450)","All samples with methylation (HM450) data (185 samples)","luad_tcga_pub_methylation_hm450","luad_tcga_pub"
"other","iCluster Subtype 6","iCluster Subtype 6 (41 samples)","luad_tcga_pub_icluster6","luad_tcga_pub"
"other","Expression Subtype: Magnoid","Magnoid expression subtype (63 samples)","luad_tcga_pub_magnoid","luad_tcga_pub"
"other","Manuscript: Oncogene-positive samples","Oncogene-positive samples (137 samples)","luad_tcga_pub_oncopos","luad_tcga_pub"
"other","iCluster Subtype 4","iCluster Subtype 4 (32 samples)","luad_tcga_pub_icluster4","luad_tcga_pub"
"other","Manuscript samples","Samples used in the manuscript (230 samples)","luad_tcga_pub_freeze","luad_tcga_pub"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (230 samples)","luad_tcga_pub_sequenced","luad_tcga_pub"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (230 samples)","luad_tcga_pub_cnaseq","luad_tcga_pub"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (230 samples)","luad_tcga_pub_cna","luad_tcga_pub"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (230 samples)","luad_tcga_pub_rna_seq_v2_mrna","luad_tcga_pub"
"other","iCluster Subtype 2","iCluster Subtype 2 (32 samples)","luad_tcga_pub_icluster2","luad_tcga_pub"
"other","Expression Subtype: Squamoid","Squamoid expression subtype (78 samples)","luad_tcga_pub_squamoid","luad_tcga_pub"
"other","Expression Subtype: Bronchioid","Bronchioid expression subtype (89 samples)","luad_tcga_pub_bronchioid","luad_tcga_pub"
"other","iCluster Subtype 5","iCluster Subtype 5 (52 samples)","luad_tcga_pub_icluster5","luad_tcga_pub"
"other","iCluster Subtype 3","iCluster Subtype 3 (51 samples)","luad_tcga_pub_icluster3","luad_tcga_pub"
"all_cases_in_study","All Tumors","All tumor samples (245 samples)","luad_tcga_pub_all","luad_tcga_pub"
"all_cases_with_mrna_array_data","Tumor Samples with mRNA data (Agilent microarray)","All samples with mRNA expression data (23 samples)","luad_tcga_pub_mrna","luad_tcga_pub"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (230 samples)","luad_tcga_pub_3way_complete","luad_tcga_pub"
"all_cases_with_rppa_data","Tumor Samples with RPPA data","Tumors with reverse phase protein array (RPPA) data for about 200 antibodies (181 samples)","luad_tcga_pub_rppa","luad_tcga_pub"
"other","Manuscript: Oncogene-negative samples","Oncogene-negative samples (93 samples)","luad_tcga_pub_onconeg","luad_tcga_pub"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM27)","All samples with methylation (HM27) data (48 samples)","luad_tcga_pub_methylation_hm27","luad_tcga_pub"
"other","iCluster Subtype 1","iCluster Subtype 1 (22 samples)","luad_tcga_pub_icluster1","luad_tcga_pub"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (163 samples)","luad_tsp_sequenced","luad_tsp"
"all_cases_in_study","All Tumors","All tumor samples (163 samples)","luad_tsp_all","luad_tsp"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (915 samples)","lung_msk_2017_sequenced","lung_msk_2017"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (915 samples)","lung_msk_2017_cnaseq","lung_msk_2017"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (915 samples)","lung_msk_2017_cna","lung_msk_2017"
"all_cases_in_study","All Tumors","All tumor samples (926 samples)","lung_msk_2017_all","lung_msk_2017"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM450)","All samples with methylation (HM450) data (370 samples)","lusc_tcga_methylation_hm450","lusc_tcga"
"all_cases_with_methylation_data","All tumor samples with methylation data","All samples with methylation data (503 samples)","lusc_tcga_methylation_all","lusc_tcga"
"all_cases_with_mutation_data","All Sequenced Tumors","All sequenced tumor samples (179 samples)","lusc_tcga_sequenced","lusc_tcga"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (178 samples)","lusc_tcga_cnaseq","lusc_tcga"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (501 samples)","lusc_tcga_cna","lusc_tcga"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (501 samples)","lusc_tcga_rna_seq_v2_mrna","lusc_tcga"
"all_cases_in_study","All Tumors","All tumor samples (874 samples)","lusc_tcga_all","lusc_tcga"
"all_cases_with_mrna_array_data","Tumor Samples with mRNA data (Agilent microarray)","All samples with mRNA expression data (154 samples)","lusc_tcga_mrna","lusc_tcga"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (178 samples)","lusc_tcga_3way_complete","lusc_tcga"
"all_cases_with_rppa_data","Tumor Samples with RPPA data","Tumors with reverse phase protein array (RPPA) data for about 200 antibodies (328 samples)","lusc_tcga_rppa","lusc_tcga"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM27)","All samples with methylation (HM27) data (133 samples)","lusc_tcga_methylation_hm27","lusc_tcga"
"all_cases_with_mrna_array_data","Tumor Samples with mRNA data (U133 microarray only)","All samples with mRNA expression data (133 samples)","lusc_tcga_mrna_U133","lusc_tcga"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (484 samples)","lusc_tcga_pan_can_atlas_2018_sequenced","lusc_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (469 samples)","lusc_tcga_pan_can_atlas_2018_cnaseq","lusc_tcga_pan_can_atlas_2018"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (487 samples)","lusc_tcga_pan_can_atlas_2018_cna","lusc_tcga_pan_can_atlas_2018"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (484 samples)","lusc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","lusc_tcga_pan_can_atlas_2018"
"all_cases_in_study","All Tumors","All tumor samples (487 samples)","lusc_tcga_pan_can_atlas_2018_all","lusc_tcga_pan_can_atlas_2018"
"all_cases_with_log2_cna_data","Tumor Samples with log2 copy-number","All tumors with log2 copy-number data (487 samples)","lusc_tcga_pan_can_atlas_2018_log2CNA","lusc_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (466 samples)","lusc_tcga_pan_can_atlas_2018_3way_complete","lusc_tcga_pan_can_atlas_2018"
"all_cases_with_mrna_rnaseq_data","Tumors with mRNA data (RNA Seq)","All samples with mRNA expression data (178 samples)","lusc_tcga_pub_rna_seq_mrna","lusc_tcga_pub"
"all_cases_with_mutation_data","Sequenced Tumors","All sequenced samples (178 samples)","lusc_tcga_pub_sequenced","lusc_tcga_pub"
"all_cases_with_mutation_and_cna_data","Tumors with sequencing and CNA data","All tumor samples that have CNA and sequencing data (178 samples)","lusc_tcga_pub_cnaseq","lusc_tcga_pub"
"all_cases_with_cna_data","Tumors CNA","All tumors with CNA data (178 samples)","lusc_tcga_pub_cna","lusc_tcga_pub"
"other","iCluster Subtype 2","iCluster Subtype 2 (62 samples)","lusc_tcga_pub_icluster2","lusc_tcga_pub"
"other","Expression Subtype: Secretory","Secretory expression subtype (43 samples)","lusc_tcga_pub_secretory","lusc_tcga_pub"
"other","Expression Subtype: Basal","Basal expression subtype (43 samples)","lusc_tcga_pub_basal","lusc_tcga_pub"
"all_cases_with_microrna_data","Tumors with microRNA data (microRNA-Seq)","All samples with microRNA data (110 samples)","lusc_tcga_pub_microrna","lusc_tcga_pub"
"other","iCluster Subtype 3","iCluster Subtype 3 (68 samples)","lusc_tcga_pub_icluster3","lusc_tcga_pub"
"all_cases_in_study","All Tumors","All tumor samples (178 samples)","lusc_tcga_pub_all","lusc_tcga_pub"
"all_cases_with_mrna_array_data","Tumors with mRNA data (Agilent microarray)","All samples with mRNA expression data (121 samples)","lusc_tcga_pub_mrna","lusc_tcga_pub"
"all_cases_with_log2_cna_data","Tumors log2 copy-number","All tumors with log2 copy-number data (178 samples)","lusc_tcga_pub_log2CNA","lusc_tcga_pub"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (178 samples)","lusc_tcga_pub_3way_complete","lusc_tcga_pub"
"other","Expression Subtype: Classical","Classical expression subtype (65 samples)","lusc_tcga_pub_classical","lusc_tcga_pub"
"all_cases_with_methylation_data","Tumors with methylation data (HM27)","All samples with methylation (HM27) data (104 samples)","lusc_tcga_pub_methylation_hm27","lusc_tcga_pub"
"other","Expression Subtype: Primitive","Primitive expression subtype (27 samples)","lusc_tcga_pub_primitive","lusc_tcga_pub"
"other","iCluster Subtype 1","iCluster Subtype 1 (48 samples)","lusc_tcga_pub_icluster1","lusc_tcga_pub"
"all_cases_with_mutation_data","Sequenced Tumors","All sequenced samples (92 samples)","mbl_broad_2012_sequenced","mbl_broad_2012"
"all_cases_in_study","All Tumors","All tumor samples (92 samples)","mbl_broad_2012_all","mbl_broad_2012"
"all_cases_with_mutation_data","Sequenced Tumors","All tumors with sequencing data (125 samples)","mbl_icgc_sequenced","mbl_icgc"
"all_cases_in_study","All Tumors","All tumor samples (125 samples)","mbl_icgc_all","mbl_icgc"
"all_cases_with_mutation_data","Sequenced Tumors","All sequenced samples (37 samples)","mbl_pcgp_sequenced","mbl_pcgp"
"all_cases_in_study","All Tumors","All tumor samples (37 samples)","mbl_pcgp_all","mbl_pcgp"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (46 samples)","mbl_sickkids_2016_sequenced","mbl_sickkids_2016"
"all_cases_in_study","All Tumors","All tumor samples (56 samples)","mbl_sickkids_2016_all","mbl_sickkids_2016"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (29 samples)","mcl_idibips_2013_sequenced","mcl_idibips_2013"
"all_cases_in_study","All Tumors","All tumor samples (29 samples)","mcl_idibips_2013_all","mcl_idibips_2013"
"all_cases_with_mutation_data","Sequenced Tumors","All sequenced samples (29 samples)","mds_tokyo_2011_sequenced","mds_tokyo_2011"
"all_cases_in_study","All Tumors","All tumor samples (29 samples)","mds_tokyo_2011_all","mds_tokyo_2011"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (38 samples)","mel_tsam_liang_2017_sequenced","mel_tsam_liang_2017"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (38 samples)","mel_tsam_liang_2017_cnaseq","mel_tsam_liang_2017"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (38 samples)","mel_tsam_liang_2017_cna","mel_tsam_liang_2017"
"all_cases_in_study","All Tumors","All tumor samples (59 samples)","mel_tsam_liang_2017_all","mel_tsam_liang_2017"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM450)","All samples with methylation (HM450) data (87 samples)","meso_tcga_methylation_hm450","meso_tcga"
"all_cases_with_methylation_data","All tumor samples with methylation data","All samples with methylation data (87 samples)","meso_tcga_methylation_all","meso_tcga"
"all_cases_with_mutation_data","Sequenced Tumors","All sequenced tumors (87 Samples)","meso_tcga_sequenced","meso_tcga"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (83 samples)","meso_tcga_cnaseq","meso_tcga"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (87 samples)","meso_tcga_cna","meso_tcga"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (87 samples)","meso_tcga_rna_seq_v2_mrna","meso_tcga"
"all_cases_in_study","All Tumors","All tumor samples (87 samples)","meso_tcga_all","meso_tcga"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (83 samples)","meso_tcga_3way_complete","meso_tcga"
"all_cases_with_rppa_data","Tumor Samples with RPPA data","Tumors with reverse phase protein array (RPPA) data for about 200 antibodies (63 samples)","meso_tcga_rppa","meso_tcga"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (86 samples)","meso_tcga_pan_can_atlas_2018_sequenced","meso_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (82 samples)","meso_tcga_pan_can_atlas_2018_cnaseq","meso_tcga_pan_can_atlas_2018"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (87 samples)","meso_tcga_pan_can_atlas_2018_cna","meso_tcga_pan_can_atlas_2018"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (87 samples)","meso_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","meso_tcga_pan_can_atlas_2018"
"all_cases_in_study","All Tumors","All tumor samples (87 samples)","meso_tcga_pan_can_atlas_2018_all","meso_tcga_pan_can_atlas_2018"
"all_cases_with_log2_cna_data","Tumor Samples with log2 copy-number","All tumors with log2 copy-number data (87 samples)","meso_tcga_pan_can_atlas_2018_log2CNA","meso_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (82 samples)","meso_tcga_pan_can_atlas_2018_3way_complete","meso_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (249 samples)","mixed_allen_2018_sequenced","mixed_allen_2018"
"all_cases_in_study","All Tumors","All tumor samples (249 samples)","mixed_allen_2018_all","mixed_allen_2018"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (103 samples)","mixed_pipseq_2017_sequenced","mixed_pipseq_2017"
"all_cases_in_study","All Tumors","All tumor samples (103 samples)","mixed_pipseq_2017_all","mixed_pipseq_2017"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (205 samples)","mm_broad_sequenced","mm_broad"
"all_cases_in_study","All Tumors","All tumor samples (211 samples)","mm_broad_all","mm_broad"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (15 samples)","mpnst_mskcc_sequenced","mpnst_mskcc"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (15 samples)","mpnst_mskcc_cnaseq","mpnst_mskcc"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (15 samples)","mpnst_mskcc_cna","mpnst_mskcc"
"all_cases_in_study","All Tumors","All tumor samples (17 samples)","mpnst_mskcc_all","mpnst_mskcc"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (40 samples)","mrt_bcgsc_2016_sequenced","mrt_bcgsc_2016"
"all_cases_in_study","All Tumors","All tumor samples (40 samples)","mrt_bcgsc_2016_all","mrt_bcgsc_2016"
"other","Tumor Type: Anal Cancer","All tumors with cancer type Anal Cancer","msk_impact_2017_Anal_Cancer","msk_impact_2017"
"other","Tumor Type: Breast Cancer","All tumors with cancer type Breast Cancer","msk_impact_2017_Breast_Cancer","msk_impact_2017"
"other","Tumor Type: Mastocytosis","All tumors with cancer type Mastocytosis","msk_impact_2017_Mastocytosis","msk_impact_2017"
"other","Tumor Type: Pineal Tumor","All tumors with cancer type Pineal Tumor","msk_impact_2017_Pineal_Tumor","msk_impact_2017"
"other","Tumor Type: Gastrointestinal Neuroendocrine Tumor","All tumors with cancer type Gastrointestinal Neuroendocrine Tumor","msk_impact_2017_Gastrointestinal_Neuroendocrine_Tumor","msk_impact_2017"
"other","Tumor Type: Embryonal Tumor","All tumors with cancer type Embryonal Tumor","msk_impact_2017_Embryonal_Tumor","msk_impact_2017"
"other","Tumor Type: Histiocytosis","All tumors with cancer type Histiocytosis","msk_impact_2017_Histiocytosis","msk_impact_2017"
"other","Tumor Type: Multiple Myeloma","All tumors with cancer type Multiple Myeloma","msk_impact_2017_Multiple_Myeloma","msk_impact_2017"
"other","Tumor Type: Salivary Gland Cancer","All tumors with cancer type Salivary Gland Cancer","msk_impact_2017_Salivary_Gland_Cancer","msk_impact_2017"
"other","Tumor Type: Esophagogastric Cancer","All tumors with cancer type Esophagogastric Cancer","msk_impact_2017_Esophagogastric_Cancer","msk_impact_2017"
"other","Tumor Type: Sellar Tumor","All tumors with cancer type Sellar Tumor","msk_impact_2017_Sellar_Tumor","msk_impact_2017"
"other","Tumor Type: Pheochromocytoma","All tumors with cancer type Pheochromocytoma","msk_impact_2017_Pheochromocytoma","msk_impact_2017"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (10945 samples)","msk_impact_2017_sequenced","msk_impact_2017"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (10945 samples)","msk_impact_2017_cnaseq","msk_impact_2017"
"other","Tumor Type: Nerve Sheath Tumor","All tumors with cancer type Nerve Sheath Tumor","msk_impact_2017_Nerve_Sheath_Tumor","msk_impact_2017"
"other","Tumor Type: Thymic Tumor","All tumors with cancer type Thymic Tumor","msk_impact_2017_Thymic_Tumor","msk_impact_2017"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (10945 samples)","msk_impact_2017_cna","msk_impact_2017"
"other","Tumor Type: Endometrial Cancer","All tumors with cancer type Endometrial Cancer","msk_impact_2017_Endometrial_Cancer","msk_impact_2017"
"other","Tumor Type: Hodgkin Lymphoma","All tumors with cancer type Hodgkin Lymphoma","msk_impact_2017_Hodgkin_Lymphoma","msk_impact_2017"
"other","Tumor Type: Retinoblastoma","All tumors with cancer type Retinoblastoma","msk_impact_2017_Retinoblastoma","msk_impact_2017"
"other","Tumor Type: Head and Neck Cancer","All tumors with cancer type Head and Neck Cancer","msk_impact_2017_Head_and_Neck_Cancer","msk_impact_2017"
"other","Tumor Type: Cervical Cancer","All tumors with cancer type Cervical Cancer","msk_impact_2017_Cervical_Cancer","msk_impact_2017"
"other","Tumor Type: Skin Cancer, Non-Melanoma","All tumors with cancer type Skin Cancer, Non-Melanoma","msk_impact_2017_Skin_Cancer_Non-Melanoma","msk_impact_2017"
"other","Tumor Type: Small Cell Lung Cancer","All tumors with cancer type Small Cell Lung Cancer","msk_impact_2017_Small_Cell_Lung_Cancer","msk_impact_2017"
"other","Tumor Type: Small Bowel Cancer","All tumors with cancer type Small Bowel Cancer","msk_impact_2017_Small_Bowel_Cancer","msk_impact_2017"
"other","Tumor Type: Uterine Sarcoma","All tumors with cancer type Uterine Sarcoma","msk_impact_2017_Uterine_Sarcoma","msk_impact_2017"
"other","Tumor Type: Penile Cancer","All tumors with cancer type Penile Cancer","msk_impact_2017_Penile_Cancer","msk_impact_2017"
"other","Tumor Type: Hepatobiliary Cancer","All tumors with cancer type Hepatobiliary Cancer","msk_impact_2017_Hepatobiliary_Cancer","msk_impact_2017"
"other","Tumor Type: Non-Hodgkin Lymphoma","All tumors with cancer type Non-Hodgkin Lymphoma","msk_impact_2017_Non-Hodgkin_Lymphoma","msk_impact_2017"
"other","Tumor Type: Melanoma","All tumors with cancer type Melanoma","msk_impact_2017_Melanoma","msk_impact_2017"
"other","Tumor Type: Wilms Tumor","All tumors with cancer type Wilms Tumor","msk_impact_2017_Wilms_Tumor","msk_impact_2017"
"other","Tumor Type: Leukemia","All tumors with cancer type Leukemia","msk_impact_2017_Leukemia","msk_impact_2017"
"all_cases_in_study","All Tumors","All tumor samples (10945 samples)","msk_impact_2017_all","msk_impact_2017"
"other","Tumor Type: Renal Cell Carcinoma","All tumors with cancer type Renal Cell Carcinoma","msk_impact_2017_Renal_Cell_Carcinoma","msk_impact_2017"
"other","Tumor Type: Gestational Trophoblastic Disease","All tumors with cancer type Gestational Trophoblastic Disease","msk_impact_2017_Gestational_Trophoblastic_Disease","msk_impact_2017"
"other","Tumor Type: Soft Tissue Sarcoma","All tumors with cancer type Soft Tissue Sarcoma","msk_impact_2017_Soft_Tissue_Sarcoma","msk_impact_2017"
"other","Tumor Type: Germ Cell Tumor","All tumors with cancer type Germ Cell Tumor","msk_impact_2017_Germ_Cell_Tumor","msk_impact_2017"
"other","Tumor Type: Glioma","All tumors with cancer type Glioma","msk_impact_2017_Glioma","msk_impact_2017"
"other","Tumor Type: NA","All tumors with cancer type NA","msk_impact_2017_NA","msk_impact_2017"
"other","Tumor Type: Sex Cord Stromal Tumor","All tumors with cancer type Sex Cord Stromal Tumor","msk_impact_2017_Sex_Cord_Stromal_Tumor","msk_impact_2017"
"other","Tumor Type: Mesothelioma","All tumors with cancer type Mesothelioma","msk_impact_2017_Mesothelioma","msk_impact_2017"
"other","Tumor Type: Adrenocortical Carcinoma","All tumors with cancer type Adrenocortical Carcinoma","msk_impact_2017_Adrenocortical_Carcinoma","msk_impact_2017"
"other","Tumor Type: Appendiceal Cancer","All tumors with cancer type Appendiceal Cancer","msk_impact_2017_Appendiceal_Cancer","msk_impact_2017"
"other","Tumor Type: Vaginal Cancer","All tumors with cancer type Vaginal Cancer","msk_impact_2017_Vaginal_Cancer","msk_impact_2017"
"other","Tumor Type: Ampullary Carcinoma","All tumors with cancer type Ampullary Carcinoma","msk_impact_2017_Ampullary_Carcinoma","msk_impact_2017"
"other","Tumor Type: Miscellaneous Brain Tumor","All tumors with cancer type Miscellaneous Brain Tumor","msk_impact_2017_Miscellaneous_Brain_Tumor","msk_impact_2017"
"other","Tumor Type: Thyroid Cancer","All tumors with cancer type Thyroid Cancer","msk_impact_2017_Thyroid_Cancer","msk_impact_2017"
"other","Tumor Type: Pancreatic Cancer","All tumors with cancer type Pancreatic Cancer","msk_impact_2017_Pancreatic_Cancer","msk_impact_2017"
"other","Tumor Type: Non-Small Cell Lung Cancer","All tumors with cancer type Non-Small Cell Lung Cancer","msk_impact_2017_Non-Small_Cell_Lung_Cancer","msk_impact_2017"
"other","Tumor Type: Cancer of Unknown Primary","All tumors with cancer type Cancer of Unknown Primary","msk_impact_2017_Cancer_of_Unknown_Primary","msk_impact_2017"
"other","Tumor Type: Breast Sarcoma","All tumors with cancer type Breast Sarcoma","msk_impact_2017_Breast_Sarcoma","msk_impact_2017"
"other","Tumor Type: Bladder Cancer","All tumors with cancer type Bladder Cancer","msk_impact_2017_Bladder_Cancer","msk_impact_2017"
"other","Tumor Type: Prostate Cancer","All tumors with cancer type Prostate Cancer","msk_impact_2017_Prostate_Cancer","msk_impact_2017"
"other","Tumor Type: Colorectal Cancer","All tumors with cancer type Colorectal Cancer","msk_impact_2017_Colorectal_Cancer","msk_impact_2017"
"other","Tumor Type: Gastrointestinal Stromal Tumor","All tumors with cancer type Gastrointestinal Stromal Tumor","msk_impact_2017_Gastrointestinal_Stromal_Tumor","msk_impact_2017"
"other","Tumor Type: Bone Cancer","All tumors with cancer type Bone Cancer","msk_impact_2017_Bone_Cancer","msk_impact_2017"
"other","Tumor Type: Miscellaneous Neuroepithelial Tumor","All tumors with cancer type Miscellaneous Neuroepithelial Tumor","msk_impact_2017_Miscellaneous_Neuroepithelial_Tumor","msk_impact_2017"
"other","Tumor Type: CNS Cancer","All tumors with cancer type CNS Cancer","msk_impact_2017_CNS_Cancer","msk_impact_2017"
"other","Tumor Type: Ovarian Cancer","All tumors with cancer type Ovarian Cancer","msk_impact_2017_Ovarian_Cancer","msk_impact_2017"
"all_cases_with_mutation_data","Sequenced Tumors","All sequenced samples (87 samples)","nbl_amc_2012_sequenced","nbl_amc_2012"
"all_cases_in_study","All Tumors","All tumor samples (87 samples)","nbl_amc_2012_all","nbl_amc_2012"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (238 samples)","nbl_broad_2013_sequenced","nbl_broad_2013"
"all_cases_in_study","All Tumors","All tumor samples (240 samples)","nbl_broad_2013_all","nbl_broad_2013"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq)","All samples with mRNA expression data (143 samples)","nbl_target_2018_pub_rna_seq_mrna","nbl_target_2018_pub"
"other","VALIDATION cohort","All tumors in VALIDATION cohort (499 samples)","nbl_target_2018_pub_validation","nbl_target_2018_pub"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (372 samples)","nbl_target_2018_pub_sequenced","nbl_target_2018_pub"
