molecularAlterationType,datatype,name,description,showProfileInAnalysisTab,molecularProfileId,studyId
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"lgg_tcga_pan_can_atlas_2018_gistic","lgg_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"lgg_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","lgg_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"lgg_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","lgg_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"lgg_tcga_pan_can_atlas_2018_log2CNA","lgg_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"lgg_tcga_pan_can_atlas_2018_mutations","lgg_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing of 23 grade II glioma patients.",true,"lgg_ucsf_2014_mutations","lgg_ucsf_2014"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole-exome sequencing(WXS) of 46 liver tumor and corresponding nontumor DNA.",true,"liad_inserm_fr_2014_mutations","liad_inserm_fr_2014"
"COPY_NUMBER_ALTERATION","","Putative copy-number alterations from SNP-FASST2","Putative copy-number calls on 231 cases determined using SNP-FASST2. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"lihc_amc_prv_SNP-FASST2","lihc_amc_prv"
"MUTATION_EXTENDED","","Mutations","Mutation data from whole exome sequencing.",true,"lihc_amc_prv_mutations","lihc_amc_prv"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from whole genome sequencing of 27 tumor/normal pairs.",true,"lihc_riken_mutations","lihc_riken"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 370 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"lihc_tcga_gistic","lihc_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 423 hcc cases (RNA Seq V2 RSEM).",false,"lihc_tcga_rna_seq_v2_mrna","lihc_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"lihc_tcga_rna_seq_v2_mrna_median_Zscores","lihc_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"lihc_tcga_linear_CNA","lihc_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 429 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"lihc_tcga_methylation_hm450","lihc_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: LIHC/20160128/gdac.broadinstitute.org_LIHC.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz.",true,"lihc_tcga_mutations","lihc_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"lihc_tcga_pan_can_atlas_2018_gistic","lihc_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"lihc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","lihc_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"lihc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","lihc_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"lihc_tcga_pan_can_atlas_2018_log2CNA","lihc_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"lihc_tcga_pan_can_atlas_2018_mutations","lihc_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations","Putative copy-number calls in 388 samples. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"luad_broad_cna","luad_broad"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 183 tumor/normal pairs.",true,"luad_broad_mutations","luad_broad"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from 34 lung exomes.",true,"luad_mskcc_2015_mutations","luad_mskcc_2015"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"luad_tcga_rppa","luad_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"luad_tcga_rppa_Zscores","luad_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 516 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"luad_tcga_gistic","luad_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (microarray)","Expression levels for 17155 genes in 32 luad cases (Agilent microarray).",false,"luad_tcga_mrna","luad_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (microarray)","mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"luad_tcga_mrna_median_Zscores","luad_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 576 luad cases (RNA Seq V2 RSEM).",false,"luad_tcga_rna_seq_v2_mrna","luad_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"luad_tcga_rna_seq_v2_mrna_median_Zscores","luad_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"luad_tcga_linear_CNA","luad_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM27)","Methylation (HM27) beta-values for genes in 150 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"luad_tcga_methylation_hm27","luad_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 492 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"luad_tcga_methylation_hm450","luad_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: LUAD/20160128/gdac.broadinstitute.org_LUAD.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz.",true,"luad_tcga_mutations","luad_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"luad_tcga_pan_can_atlas_2018_gistic","luad_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"luad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","luad_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"luad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","luad_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"luad_tcga_pan_can_atlas_2018_log2CNA","luad_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"luad_tcga_pan_can_atlas_2018_mutations","luad_tcga_pan_can_atlas_2018"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"luad_tcga_pub_rppa","luad_tcga_pub"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"luad_tcga_pub_rppa_Zscores","luad_tcga_pub"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 230 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"luad_tcga_pub_gistic","luad_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (microarray)","Expression levels for 17235 genes in 32 luad cases (Agilent microarray).",false,"luad_tcga_pub_mrna","luad_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (microarray)","mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"luad_tcga_pub_mrna_median_Zscores","luad_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 230 luad cases (RNA Seq V2 RSEM).",false,"luad_tcga_pub_rna_seq_v2_mrna","luad_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"luad_tcga_pub_rna_seq_v2_mrna_median_Zscores","luad_tcga_pub"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"luad_tcga_pub_linear_CNA","luad_tcga_pub"
"METHYLATION","CONTINUOUS","Methylation (HM27)","Methylation (HM27) beta-values for genes in 126 cases. For genes with multiple methylation probes, the probe least correlated with expression.",false,"luad_tcga_pub_methylation_hm27","luad_tcga_pub"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 435 cases. For genes with multiple methylation probes, the probe least correlated with expression.",false,"luad_tcga_pub_methylation_hm450","luad_tcga_pub"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing.",true,"luad_tcga_pub_mutations","luad_tcga_pub"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from targeted sequencing of 163 tumor/normal pairs.",true,"luad_tsp_mutations","luad_tsp"
"COPY_NUMBER_ALTERATION","DISCRETE","copy-number alterations","Discrete copy-number data from IMPACT",true,"lung_msk_2017_cna","lung_msk_2017"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from IMPACT testing",true,"lung_msk_2017_mutations","lung_msk_2017"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"lusc_tcga_rppa","lusc_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"lusc_tcga_rppa_Zscores","lusc_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 501 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"lusc_tcga_gistic","lusc_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (U133 microarray only)","mRNA expression data from the Affymetrix U133 microarray.",false,"lusc_tcga_mrna_U133","lusc_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (U133 microarray only)","mRNA z-Scores  (U133 microarray only) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"lusc_tcga_mrna_U133_Zscores","lusc_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (microarray)","Expression levels for 17155 genes in 154 lusc cases (Agilent microarray).",false,"lusc_tcga_mrna","lusc_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (microarray)","mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"lusc_tcga_mrna_median_Zscores","lusc_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 552 lusc cases (RNA Seq V2 RSEM).",false,"lusc_tcga_rna_seq_v2_mrna","lusc_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"lusc_tcga_rna_seq_v2_mrna_median_Zscores","lusc_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"lusc_tcga_linear_CNA","lusc_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM27)","Methylation (HM27) beta-values for genes in 160 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"lusc_tcga_methylation_hm27","lusc_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 412 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"lusc_tcga_methylation_hm450","lusc_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: LUSC/20160128/gdac.broadinstitute.org_LUSC.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz.",true,"lusc_tcga_mutations","lusc_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"lusc_tcga_pan_can_atlas_2018_gistic","lusc_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"lusc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","lusc_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"lusc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","lusc_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"lusc_tcga_pan_can_atlas_2018_log2CNA","lusc_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"lusc_tcga_pan_can_atlas_2018_mutations","lusc_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"lusc_tcga_pub_gistic","lusc_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq RPKM)","Expression levels (RNA Seq RPKM).",false,"lusc_tcga_pub_rna_seq_mrna","lusc_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq RPKM)","mRNA z-Scores (RNA Seq RPKM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"lusc_tcga_pub_rna_seq_mrna_median_Zscores","lusc_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (microarray)","Expression levels (Agilent microarray).",false,"lusc_tcga_pub_mrna","lusc_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (microarray)","mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"lusc_tcga_pub_mrna_median_Zscores","lusc_tcga_pub"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"lusc_tcga_pub_linear_CNA","lusc_tcga_pub"
"METHYLATION","CONTINUOUS","Methylation (HM27)","Methylation beta-values (HM27 platform). For genes with multiple methylation probes, the probe least correlated with expression is selected.",false,"lusc_tcga_pub_methylation_hm27","lusc_tcga_pub"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing.",true,"lusc_tcga_pub_mutations","lusc_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","microRNA expression","Expression levels for microRNAs.",false,"lusc_tcga_pub_mirna","lusc_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","microRNA expression Z-scores","microRNA expression Z-scores compared to all tumors.",false,"lusc_tcga_pub_mirna_median_Zscores","lusc_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA/miRNA expression Z-scores (all genes)","mRNA and microRNA Z-scores merged: mRNA expression Z-scores compared to diploid tumors (diploid for each gene), median values from all three mRNA expression platforms; and miRNA z-Scores compared to all tumours.",false,"lusc_tcga_pub_mrna_merged_median_Zscores","lusc_tcga_pub"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 92 tumor/normal pairs.",true,"mbl_broad_2012_mutations","mbl_broad_2012"
"MUTATION_EXTENDED","MAF","Mutations","Exome sequencing of 125 tumor normal pairs.",true,"mbl_icgc_mutations","mbl_icgc"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from whole genome sequencing of 37 tumor/normal pairs.",true,"mbl_pcgp_mutations","mbl_pcgp"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole-genome sequencing (WGS) of 46 recurrent medulloblastoma samples.",true,"mbl_sickkids_2016_mutations","mbl_sickkids_2016"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 29 tumors.",true,"mcl_idibips_2013_mutations","mcl_idibips_2013"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 29 tumor/normal pairs.",true,"mds_tokyo_2011_mutations","mds_tokyo_2011"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from tConut","Putative copy-number from tConut. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"mel_tsam_liang_2017_cna","mel_tsam_liang_2017"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing.",true,"mel_tsam_liang_2017_mutations","mel_tsam_liang_2017"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"meso_tcga_rppa","meso_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"meso_tcga_rppa_Zscores","meso_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 87 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"meso_tcga_gistic","meso_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 87 plmeso cases (RNA Seq V2 RSEM).",false,"meso_tcga_rna_seq_v2_mrna","meso_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"meso_tcga_rna_seq_v2_mrna_median_Zscores","meso_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"meso_tcga_linear_CNA","meso_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 87 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"meso_tcga_methylation_hm450","meso_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing.",true,"meso_tcga_mutations","meso_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"meso_tcga_pan_can_atlas_2018_gistic","meso_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"meso_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","meso_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"meso_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","meso_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"meso_tcga_pan_can_atlas_2018_log2CNA","meso_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"meso_tcga_pan_can_atlas_2018_mutations","meso_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutations.",true,"mixed_allen_2018_mutations","mixed_allen_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing.",true,"mixed_pipseq_2017_mutations","mixed_pipseq_2017"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 205 tumor/normal pairs.",true,"mm_broad_mutations","mm_broad"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations","Putative copy-number calls. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"mpnst_mskcc_cna","mpnst_mskcc"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 15 tumor/normal pairs.",true,"mpnst_mskcc_mutations","mpnst_mskcc"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole genome sequencing.",true,"mrt_bcgsc_2016_mutations","mrt_bcgsc_2016"
"COPY_NUMBER_ALTERATION","DISCRETE","Copy Number Alterations (MSK-IMPACT)","Copy number alterations from targeted sequencing via MK-IMPACT on Illumina HiSeq sequencers.",true,"msk_impact_2017_cna","msk_impact_2017"
"MUTATION_EXTENDED","MAF","Mutations (MSK-IMPACT)","Targeted sequencing of various tumor types via MSK-IMPACT on Illumina HiSeq sequencers.",true,"msk_impact_2017_mutations","msk_impact_2017"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from whole genome sequencing of 87 tumor/normal pairs.",true,"nbl_amc_2012_mutations","nbl_amc_2012"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome and whole genome sequencing of 240 tumor/normal pairs.",true,"nbl_broad_2013_mutations","nbl_broad_2013"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 115 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"nbl_target_2018_pub_gistic","nbl_target_2018_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA-Seq RPKM)","Expression levels for 24946 genes in 144 nbl cases (RNA-Seq RPKM).",false,"nbl_target_2018_pub_rna_seq_mrna","nbl_target_2018_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq RPKM)","mRNA z-Scores (RNA Seq RPKM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"nbl_target_2018_pub_rna_seq_mrna_median_Zscores","nbl_target_2018_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA expression (microarray)","mRNA expression levels (Affymetrix microarray)",false,"nbl_target_2018_pub_mirna_median_Zscores","nbl_target_2018_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (microarray)","mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"nbl_target_2018_pub_mrna_median_Zscores","nbl_target_2018_pub"
"MUTATION_EXTENDED","MAF","Somatic mutations","Somatic mutation status from whole genome or whole exome sequencing on 313 samples.",true,"nbl_target_2018_pub_mutations","nbl_target_2018_pub"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole-genome sequencing of 56 neuroblastomas and matched normal controls.",true,"nbl_ucologne_2015_mutations","nbl_ucologne_2015"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing of 139 non-clear cell renal carcinoma samples.",true,"nccrcc_genentech_2014_mutations","nccrcc_genentech_2014"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations adjusted by ploidy and purity with CLONET","Putative copy-number alterations adjusted by ploidy and purity with CLONET. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"nepc_wcm_2016_cna","nepc_wcm_2016"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression","Expression levels.",false,"nepc_wcm_2016_mrna","nepc_wcm_2016"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number value","Log2 copy-number values for each gene obtained from CNVseeqer pipeline and adjusted by ploidy and purity with CLONET",false,"nepc_wcm_2016_log2CNA","nepc_wcm_2016"
